"PARTY_NAME, GLN, GRID_AREA_ID"
"Vestmar Nett AS","7080005054928","50Y-7FS806KF24QR","KRAGERØ1"
"VENI Metering AS","7080005050616","50Y0B-1DGY7ZN8KB","SN01HAFSL1"
"VENI Metering AS","7080005050616","50Y2CKL12AOFY8UC","SN01BKKN1"
"VENI Metering AS","7080005050616","50YJBNWHHDDU09RN","SN01NORDKR1"
"VENI Metering AS","7080005050616","50YYBZ50GER7MFB3","SN01SVORKA1"
"VENI Metering AS","7080005050616","50Y8JOVMBCCBF-3D","SN01FREDR1"
"VENI Metering AS","7080005050616","50YDGY7ZN8KJ5S4E","SN01NØSTERD1"
"VENI Metering AS","7080005050616","50YBV43ADGGV51N5","SN01ØEIKER1"
"VENI Metering AS","7080005050616","50YBZ8NN9GK6G5JE","SN01AEN2DN"
"VENI Metering AS","7080005050616","50YTQ-CIPRZACVXX","SN01ISTAD1"
"VENI Metering AS","7080005050616","50YPCGLIAF00FNY6","SN01VOKKS1"
"VENI Metering AS","7080005050616","50YQ9HSIFAQO5T0G","SN01RINGER1"
"VENI Metering AS","7080005050616","50YT11FBEDS3ZLCW","SN01SKAGN3"
"VENI Metering AS","7080005050616","50YXEQP0461ERLEY","SN01ALTA1"
"VENI Metering AS","7080005050616","50YEECXSTRWJCJ7W","SN01HELGEL1"
"VENI Metering AS","7080005050616","50YUCXAQADFOGTFJ","SN01VOSS1"
"VENI Metering AS","7080005050616","50YMBCCBF-39T116","SN01FON1"
"VENI Metering AS","7080005050616","50YC0BAILNG1D6V8","SN01NTE2"
"VENI Metering AS","7080005050616","50Y6P0-BFAAP1WIK","SN01HALOG1"
"VENI Metering AS","7080005050616","50YQ18WVKFWDHUDW","SN01NEAS1"
"VENI Metering AS","7080005050616","50YGK4WUP21CWEDW","SN01NTE1"
"VENI Metering AS","7080005050616","50YF3EDLOQJ2G9Y7","SN01SFE1"
"VENI Metering AS","7080005050616","50Y5S4VYBZ50GER6","SN01LOFOT1"
"VENI Metering AS","7080005050616","50YMFBM0BNCK20HO","SN01NLANDSN1"
"VENI Metering AS","7080005050616","50YGFMDGGVA1-KG3","SN01GLITRED1"
"VENI Metering AS","7080005050616","50YBEDS3ZLCEPCGI","SN01TEN1"
"VENI Metering AS","7080005050616","50YZEW0ACV3VJ4HS","SN01HALL1"
"VENI Metering AS","7080005050616","50Y0461ERLE00B-B","SN01MØRE1"
"VENI Metering AS","7080005050616","50YJMZFAIRM9GXBI","SN01SUNNFJD1"
"VENI Metering AS","7080005050616","50YGEZ4537XRXEQ1","SN01EIDSIVAD"
"VENI Metering AS","7080005050616","50YL16-IEEDHBAGG","SN01ORKDAL1"
"VENI Metering AS","7080005050616","50YAPSUN6PD1YO3A","SN01LYSEN1"
"VENI Metering AS","7080005050616","50Y0BNCK20HI8JO5","SN01KLEPP1"
